TICKER,PER,Date,TIME,Open,High,Low,Close,Total Trade Quantity,Turnover (Lacs)
ddam-D1,D1,20171022,000000,530,541,511,512,44326,0
ddam-D1,D1,20171023,000000,524,524,524,524,1309,0
ddam-D1,D1,20171024,000000,505,526,505,524,7318,0
ddam-D1,D1,20171025,000000,500,507,500,507,3350,0
ddam-D1,D1,20171028,000000,505,505,497,497,34639,0
ddam-D1,D1,20171029,000000,510,510,495,495,11274,0
ddam-D1,D1,20171030,000000,495,495,487,487,46967,0
ddam-D1,D1,20171031,000000,478,494,478,494,8498,0
ddam-D1,D1,20171101,000000,480,524,480,523,14073,0
ddam-D1,D1,20171104,000000,505,505,479,479,38398,0
ddam-D1,D1,20171105,000000,477,493,477,483,47595,0
ddam-D1,D1,20171106,000000,479,486,471,471,53330,0
ddam-D1,D1,20171107,000000,471,482,471,482,11501,0
ddam-D1,D1,20171108,000000,481,481,475,481,13361,0
ddam-D1,D1,20171111,000000,481,481,471,477,27296,0
ddam-D1,D1,20171112,000000,477,477,474,474,25816,0
ddam-D1,D1,20171113,000000,475,475,471,471,5630,0
ddam-D1,D1,20171114,000000,467,473,460,460,24911,0
ddam-D1,D1,20171115,000000,456,477,453,460,14464,0
ddam-D1,D1,20171118,000000,467,472,467,467,14245,0
ddam-D1,D1,20171120,000000,450,455,450,454,39767,0
ddam-D1,D1,20171121,000000,449,467,444,448,40228,0
ddam-D1,D1,20171122,000000,460,460,448,449,2835,0
ddam-D1,D1,20171125,000000,461,461,454,456,11436,0
ddam-D1,D1,20171126,000000,459,461,459,460,28872,0
ddam-D1,D1,20171128,000000,460,460,457,460,22368,0
ddam-D1,D1,20171129,000000,457,458,447,447,6930,0
ddam-D1,D1,20171202,000000,460,460,441,441,3000,0
ddam-D1,D1,20171203,000000,455,455,455,455,874,0
ddam-D1,D1,20171204,000000,459,459,441,441,12343,0
ddam-D1,D1,20171205,000000,437,459,437,454,8600,0
ddam-D1,D1,20171209,000000,436,438,435,435,29256,0
ddam-D1,D1,20171210,000000,430,446,430,430,69200,0
ddam-D1,D1,20171211,000000,443,443,426,428,34038,0
ddam-D1,D1,20171212,000000,429,435,427,427,49633,0
ddam-D1,D1,20171213,000000,427,429,427,429,7674,0
ddam-D1,D1,20171216,000000,448,448,448,448,1085,0
ddam-D1,D1,20171218,000000,446,448,446,446,35640,0
ddam-D1,D1,20171219,000000,427,437,427,437,8845,0
ddam-D1,D1,20171220,000000,430,430,429,429,19259,0
ddam-D1,D1,20171223,000000,437,437,437,437,3785,0
ddam-D1,D1,20171224,000000,437,437,431,431,300,0
ddam-D1,D1,20171225,000000,427,434,415,434,186343,0
ddam-D1,D1,20171226,000000,415,426,415,424,17541,0
ddam-D1,D1,20171227,000000,435,435,424,424,13611,0
ddam-D1,D1,20171230,000000,419,419,416,416,8121,0
ddam-D1,D1,20171231,000000,415,423,400,423,68930,0
ddam-D1,D1,20180102,000000,413,413,413,413,4500,0
ddam-D1,D1,20180103,000000,425,425,424,424,545,0
ddam-D1,D1,20180106,000000,394,413,394,413,2700,0
ddam-D1,D1,20180107,000000,397,397,397,397,1111,0
ddam-D1,D1,20180108,000000,419,419,413,413,2187,0
ddam-D1,D1,20180109,000000,397,419,393,393,59926,0
ddam-D1,D1,20180110,000000,413,413,406,413,33928,0
ddam-D1,D1,20180113,000000,412,412,411,411,12430,0
ddam-D1,D1,20180114,000000,393,408,393,407,2251,0
ddam-D1,D1,20180115,000000,405,405,405,405,2574,0
ddam-D1,D1,20180116,000000,390,392,390,391,21066,0
ddam-D1,D1,20180117,000000,386,396,386,396,10790,0
ddam-D1,D1,20180120,000000,385,390,385,390,507,0
ddam-D1,D1,20180121,000000,390,390,389,390,5250,0
ddam-D1,D1,20180122,000000,384,384,384,384,310,0
ddam-D1,D1,20180123,000000,384,384,384,384,1000,0
ddam-D1,D1,20180124,000000,384,384,384,384,27238,0
ddam-D1,D1,20180127,000000,382,390,382,390,5672,0
ddam-D1,D1,20180128,000000,381,381,381,381,43520,0
ddam-D1,D1,20180129,000000,402,402,375,375,28837,0
ddam-D1,D1,20180130,000000,375,402,375,375,2055,0
ddam-D1,D1,20180131,000000,379,379,372,372,11749,0
ddam-D1,D1,20180203,000000,410,410,393,393,5827,0
ddam-D1,D1,20180204,000000,407,407,407,407,2244,0
ddam-D1,D1,20180205,000000,373,410,373,410,8242,0
ddam-D1,D1,20180206,000000,379,407,379,407,722,0
ddam-D1,D1,20180207,000000,373,407,373,407,3112,0
ddam-D1,D1,20180212,000000,385,398,385,398,12821,0
ddam-D1,D1,20180213,000000,381,381,381,381,6000,0
ddam-D1,D1,20180214,000000,390,390,390,390,20000,0
ddam-D1,D1,20180217,000000,390,396,390,396,3588,0
ddam-D1,D1,20180218,000000,396,396,387,387,1525,0
ddam-D1,D1,20180219,000000,390,390,390,390,877,0
ddam-D1,D1,20180221,000000,379,396,374,380,14704,0
ddam-D1,D1,20180224,000000,390,390,374,374,1826,0
ddam-D1,D1,20180225,000000,396,396,375,375,2251,0
ddam-D1,D1,20180226,000000,374,393,374,393,9934,0
ddam-D1,D1,20180227,000000,374,374,374,374,2912,0
ddam-D1,D1,20180228,000000,390,390,374,374,2620,0
ddam-D1,D1,20180303,000000,374,374,372,372,31418,0
ddam-D1,D1,20180304,000000,371,371,366,366,54970,0
ddam-D1,D1,20180305,000000,379,390,366,390,14300,0
ddam-D1,D1,20180306,000000,366,367,366,367,384,0
ddam-D1,D1,20180307,000000,367,367,367,367,2116,0
ddam-D1,D1,20180310,000000,381,383,358,358,57210,0
ddam-D1,D1,20180311,000000,357,377,357,377,1075,0
ddam-D1,D1,20180312,000000,357,357,357,357,873,0
ddam-D1,D1,20180314,000000,356,357,356,356,8000,0
ddam-D1,D1,20180319,000000,355,356,355,356,9294,0
ddam-D1,D1,20180327,000000,372,372,355,355,1114,0
ddam-D1,D1,20180328,000000,354,354,354,354,500,0
ddam-D1,D1,20180403,000000,373,389,373,389,13330,0
ddam-D1,D1,20180404,000000,389,389,389,389,5000,0
ddam-D1,D1,20180407,000000,357,357,355,355,4800,0
ddam-D1,D1,20180408,000000,355,355,355,355,3622,0
ddam-D1,D1,20180409,000000,354,354,354,354,42617,0
ddam-D1,D1,20180410,000000,355,355,350,350,1997,0
ddam-D1,D1,20180411,000000,349,349,349,349,20500,0
ddam-D1,D1,20180415,000000,365,365,356,365,370,0
ddam-D1,D1,20180416,000000,370,370,370,370,389,0
ddam-D1,D1,20180418,000000,348,360,348,355,12840,0
ddam-D1,D1,20180421,000000,348,348,348,348,333,0
ddam-D1,D1,20180422,000000,348,348,347,347,5642,0
ddam-D1,D1,20180423,000000,348,350,348,350,8805,0
ddam-D1,D1,20180424,000000,347,348,347,347,2534,0
ddam-D1,D1,20180425,000000,350,350,350,350,5805,0
ddam-D1,D1,20180428,000000,347,347,347,347,3734,0
ddam-D1,D1,20180429,000000,345,345,345,345,1266,0
ddam-D1,D1,20180430,000000,350,350,344,344,1589,0
ddam-D1,D1,20180501,000000,344,344,344,344,12533,0
ddam-D1,D1,20180505,000000,344,344,344,344,5000,0
ddam-D1,D1,20180507,000000,342,344,342,342,1632,0
