<TICKER>,<PER>,<DTYYYYMMDD>, <TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
khmotor-D1,D1,20150520,000000,633,633,619,630,56736,0
khmotor-D1,D1,20150523,000000,638,638,620,637,54870,0
khmotor-D1,D1,20150524,000000,619,633,614,627,52455,0
khmotor-D1,D1,20150525,000000,632,653,620,651,345353,0
khmotor-D1,D1,20150526,000000,652,672,651,672,208347,0
khmotor-D1,D1,20150527,000000,680,691,669,677,258688,0
khmotor-D1,D1,20150530,000000,703,703,656,672,86483,0
khmotor-D1,D1,20150531,000000,656,668,656,656,47782,0
khmotor-D1,D1,20150601,000000,656,656,643,644,94308,0
khmotor-D1,D1,20150602,000000,626,651,626,626,197583,0
khmotor-D1,D1,20150606,000000,632,652,620,642,63998,0
khmotor-D1,D1,20150607,000000,644,644,612,632,84142,0
khmotor-D1,D1,20150615,000000,668,668,634,634,74551,0
khmotor-D1,D1,20150616,000000,618,643,618,623,456591,0
khmotor-D1,D1,20150617,000000,647,651,645,651,178409,0
khmotor-D1,D1,20150620,000000,670,670,633,633,10727,0
khmotor-D1,D1,20150621,000000,662,662,620,620,12677,0
khmotor-D1,D1,20150622,000000,645,659,635,658,68743,0
khmotor-D1,D1,20150623,000000,650,660,635,650,120004,0
khmotor-D1,D1,20150624,000000,655,676,654,670,184069,0
khmotor-D1,D1,20150627,000000,683,704,683,702,603574,0
khmotor-D1,D1,20150628,000000,665,709,665,665,187081,0
khmotor-D1,D1,20150629,000000,669,677,636,675,27538,0
khmotor-D1,D1,20150630,000000,645,699,645,692,161642,0
khmotor-D1,D1,20150701,000000,692,715,656,683,124027,0
khmotor-D1,D1,20150704,000000,705,708,660,681,226068,0
khmotor-D1,D1,20150705,000000,695,710,694,709,122541,0
khmotor-D1,D1,20150706,000000,695,709,676,694,122366,0
khmotor-D1,D1,20150707,000000,677,708,677,695,37762,0
khmotor-D1,D1,20150711,000000,703,703,699,699,3564,0
khmotor-D1,D1,20150712,000000,670,716,670,692,205059,0
khmotor-D1,D1,20150713,000000,695,712,695,708,168390,0
khmotor-D1,D1,20150714,000000,710,740,683,727,160760,0
khmotor-D1,D1,20150715,000000,737,737,686,686,100148,0
khmotor-D1,D1,20150720,000000,673,708,673,695,39229,0
khmotor-D1,D1,20150721,000000,683,693,668,693,28736,0
khmotor-D1,D1,20150722,000000,664,668,664,668,47871,0
khmotor-D1,D1,20150725,000000,661,663,655,655,68000,0
khmotor-D1,D1,20150726,000000,657,680,645,675,59674,0
khmotor-D1,D1,20150727,000000,670,705,670,694,2590,0
khmotor-D1,D1,20150728,000000,692,705,670,676,108251,0
khmotor-D1,D1,20150729,000000,676,694,676,694,37693,0
khmotor-D1,D1,20150801,000000,673,692,670,688,20162,0
khmotor-D1,D1,20150802,000000,665,683,665,683,4600,0
khmotor-D1,D1,20150803,000000,665,668,650,650,54915,0
khmotor-D1,D1,20150804,000000,645,650,645,650,13102,0
khmotor-D1,D1,20150805,000000,650,650,639,647,27141,0
khmotor-D1,D1,20150808,000000,638,674,634,662,9901,0
khmotor-D1,D1,20150809,000000,691,692,644,645,12501,0
khmotor-D1,D1,20150810,000000,645,660,633,633,58803,0
khmotor-D1,D1,20150812,000000,623,640,623,640,226053,0
khmotor-D1,D1,20150815,000000,630,654,620,638,82583,0
khmotor-D1,D1,20150816,000000,650,650,620,639,34189,0
khmotor-D1,D1,20150817,000000,608,645,608,640,34775,0
khmotor-D1,D1,20150818,000000,647,647,621,645,37350,0
khmotor-D1,D1,20150819,000000,621,621,620,620,17649,0
khmotor-D1,D1,20150822,000000,629,643,629,643,26940,0
khmotor-D1,D1,20150823,000000,622,644,622,644,470,0
khmotor-D1,D1,20150824,000000,622,645,622,625,12072,0
khmotor-D1,D1,20150825,000000,623,659,623,652,612782,0
khmotor-D1,D1,20150826,000000,654,683,643,665,22271,0
khmotor-D1,D1,20150829,000000,645,685,645,656,125208,0
khmotor-D1,D1,20150830,000000,633,663,633,638,25191,0
khmotor-D1,D1,20150831,000000,662,662,633,659,18427,0
khmotor-D1,D1,20150901,000000,640,665,635,665,27461,0
khmotor-D1,D1,20150902,000000,667,667,648,651,71813,0
khmotor-D1,D1,20150905,000000,666,677,650,677,199230,0
khmotor-D1,D1,20150907,000000,652,652,641,641,9900,0
khmotor-D1,D1,20150908,000000,670,670,645,645,15470,0
khmotor-D1,D1,20150909,000000,667,681,638,640,95604,0
khmotor-D1,D1,20150912,000000,640,640,627,627,1400,0
khmotor-D1,D1,20150913,000000,627,627,627,627,400,0
khmotor-D1,D1,20150914,000000,626,654,626,627,18686,0
khmotor-D1,D1,20150916,000000,654,654,623,644,4401,0
khmotor-D1,D1,20150920,000000,622,622,622,622,30223,0
khmotor-D1,D1,20150922,000000,618,635,618,635,246959,0
khmotor-D1,D1,20150923,000000,618,640,586,619,60224,0
khmotor-D1,D1,20150926,000000,586,616,586,586,61604,0
khmotor-D1,D1,20150927,000000,579,579,578,578,168174,0
khmotor-D1,D1,20150928,000000,579,580,554,554,65142,0
khmotor-D1,D1,20150929,000000,548,548,548,548,163394,0
khmotor-D1,D1,20150930,000000,529,545,526,540,225290,0
khmotor-D1,D1,20151003,000000,526,539,509,509,113569,0
khmotor-D1,D1,20151004,000000,498,527,497,501,67065,0
khmotor-D1,D1,20151005,000000,506,533,506,510,80796,0
khmotor-D1,D1,20151006,000000,520,520,499,499,3524,0
khmotor-D1,D1,20151007,000000,511,511,492,492,50020,0
khmotor-D1,D1,20151010,000000,488,488,488,488,23864,0
khmotor-D1,D1,20151011,000000,486,497,485,496,32044,0
khmotor-D1,D1,20151012,000000,497,521,497,507,3800,0
khmotor-D1,D1,20151013,000000,524,534,499,534,84350,0
khmotor-D1,D1,20151014,000000,521,533,521,532,31718,0
khmotor-D1,D1,20151017,000000,531,540,528,535,104375,0
khmotor-D1,D1,20151018,000000,510,528,510,528,200515,0
khmotor-D1,D1,20151019,000000,539,539,538,538,40462,0
khmotor-D1,D1,20151020,000000,492,517,492,506,50333,0
khmotor-D1,D1,20151021,000000,491,508,487,487,31343,0
khmotor-D1,D1,20151101,000000,485,520,485,512,199932,0
khmotor-D1,D1,20151102,000000,514,514,491,506,66426,0
khmotor-D1,D1,20151103,000000,512,512,509,512,531,0
khmotor-D1,D1,20151104,000000,495,497,495,497,11887,0
khmotor-D1,D1,20151107,000000,490,497,487,487,33500,0
khmotor-D1,D1,20151108,000000,485,485,485,485,1,0
khmotor-D1,D1,20151109,000000,485,485,470,470,27085,0
khmotor-D1,D1,20151111,000000,467,495,467,467,34291,0
khmotor-D1,D1,20151114,000000,467,494,467,470,23448,0
khmotor-D1,D1,20151115,000000,463,510,463,510,174303,0
khmotor-D1,D1,20151116,000000,518,518,517,518,44049,0
khmotor-D1,D1,20151117,000000,473,473,473,473,16035,0
khmotor-D1,D1,20151118,000000,473,473,472,472,18603,0
khmotor-D1,D1,20151121,000000,470,472,470,470,82705,0
khmotor-D1,D1,20151122,000000,466,484,466,467,25014,0
khmotor-D1,D1,20151123,000000,464,484,463,484,21537,0
khmotor-D1,D1,20151124,000000,462,462,462,462,12012,0
khmotor-D1,D1,20151125,000000,459,472,458,458,57098,0
khmotor-D1,D1,20151128,000000,454,461,454,461,8211,0
khmotor-D1,D1,20151129,000000,464,474,464,474,24099,0
khmotor-D1,D1,20151201,000000,454,454,454,454,1000,0
khmotor-D1,D1,20151205,000000,452,452,452,452,14077,0
khmotor-D1,D1,20151206,000000,451,451,451,451,600,0
khmotor-D1,D1,20151209,000000,451,470,451,451,55795,0
khmotor-D1,D1,20151213,000000,472,472,472,472,1931,0
khmotor-D1,D1,20151214,000000,468,468,447,447,5600,0
khmotor-D1,D1,20151215,000000,447,448,447,447,69490,0
khmotor-D1,D1,20151216,000000,442,443,441,441,18455,0
khmotor-D1,D1,20151219,000000,456,456,440,440,5326,0
khmotor-D1,D1,20151220,000000,439,439,439,439,3100,0
khmotor-D1,D1,20151221,000000,439,439,439,439,3674,0
khmotor-D1,D1,20151223,000000,438,462,438,462,8000,0
khmotor-D1,D1,20151226,000000,466,466,438,438,12342,0
khmotor-D1,D1,20151227,000000,438,459,438,459,28444,0
khmotor-D1,D1,20151228,000000,437,437,437,437,24161,0
khmotor-D1,D1,20151230,000000,437,447,436,436,58922,0
khmotor-D1,D1,20160102,000000,431,447,431,434,111173,0
khmotor-D1,D1,20160103,000000,444,469,444,469,179761,0
khmotor-D1,D1,20160104,000000,472,482,460,466,126492,0
khmotor-D1,D1,20160105,000000,466,479,465,479,150629,0
khmotor-D1,D1,20160106,000000,474,474,452,452,138744,0
khmotor-D1,D1,20160109,000000,449,467,447,447,103200,0
khmotor-D1,D1,20160110,000000,435,449,435,440,155700,0
khmotor-D1,D1,20160111,000000,458,470,458,470,235035,0
khmotor-D1,D1,20160112,000000,472,488,464,488,627106,0
khmotor-D1,D1,20160113,000000,492,509,492,509,374546,0
khmotor-D1,D1,20160120,000000,558,586,558,564,711759,0
khmotor-D1,D1,20160123,000000,592,592,540,546,760925,0
khmotor-D1,D1,20160124,000000,562,570,537,558,445053,0
khmotor-D1,D1,20160125,000000,551,566,545,557,408366,0
khmotor-D1,D1,20160126,000000,554,580,554,580,494971,0
khmotor-D1,D1,20160127,000000,558,590,545,570,573558,0
khmotor-D1,D1,20160130,000000,552,555,551,555,103233,0
khmotor-D1,D1,20160131,000000,534,555,534,551,84867,0
khmotor-D1,D1,20160201,000000,551,578,551,578,218113,0
khmotor-D1,D1,20160202,000000,598,598,547,570,232532,0
khmotor-D1,D1,20160203,000000,573,573,552,554,119799,0
khmotor-D1,D1,20160206,000000,573,574,553,570,67480,0
khmotor-D1,D1,20160207,000000,570,580,565,570,271869,0
khmotor-D1,D1,20160208,000000,583,604,583,604,619309,0
khmotor-D1,D1,20160209,000000,628,628,583,595,375982,0
khmotor-D1,D1,20160210,000000,638,638,601,601,216979,0
khmotor-D1,D1,20160213,000000,600,634,580,634,360633,0
khmotor-D1,D1,20160214,000000,634,641,581,634,194459,0
khmotor-D1,D1,20160215,000000,570,606,570,583,105509,0
khmotor-D1,D1,20160216,000000,570,571,557,557,358775,0
khmotor-D1,D1,20160217,000000,536,568,533,539,184247,0
khmotor-D1,D1,20160220,000000,568,572,568,572,363043,0
khmotor-D1,D1,20160221,000000,576,600,575,600,735742,0
khmotor-D1,D1,20160222,000000,608,618,608,618,227583,0
khmotor-D1,D1,20160223,000000,648,648,608,648,1471397,0
khmotor-D1,D1,20160224,000000,665,665,614,620,379418,0
khmotor-D1,D1,20160227,000000,630,631,590,605,347623,0
khmotor-D1,D1,20160228,000000,578,600,570,570,161428,0
khmotor-D1,D1,20160229,000000,585,608,585,608,66310,0
khmotor-D1,D1,20160301,000000,615,615,606,606,34212,0
khmotor-D1,D1,20160302,000000,613,613,562,602,75288,0
khmotor-D1,D1,20160305,000000,561,612,561,595,81720,0
khmotor-D1,D1,20160306,000000,612,619,608,619,439130,0
khmotor-D1,D1,20160307,000000,648,648,645,648,615493,0
khmotor-D1,D1,20160308,000000,679,681,670,681,341374,0
khmotor-D1,D1,20160309,000000,713,713,713,713,1671189,0
khmotor-D1,D1,20160312,000000,742,749,719,725,1096486,0
khmotor-D1,D1,20160314,000000,745,783,715,762,993607,0
khmotor-D1,D1,20160315,000000,809,809,738,742,427964,0
khmotor-D1,D1,20160316,000000,733,791,733,733,408754,0
khmotor-D1,D1,20160326,000000,702,702,702,702,112787,0
khmotor-D1,D1,20160327,000000,679,679,679,679,17567,0
khmotor-D1,D1,20160328,000000,676,677,676,676,203959,0
khmotor-D1,D1,20160329,000000,709,709,645,645,131658,0
khmotor-D1,D1,20160330,000000,717,719,686,692,358423,0
khmotor-D1,D1,20160402,000000,675,683,669,669,92169,0
khmotor-D1,D1,20160403,000000,652,652,652,652,78872,0
khmotor-D1,D1,20160404,000000,652,652,638,638,261489,0
khmotor-D1,D1,20160405,000000,665,673,611,673,126816,0
khmotor-D1,D1,20160406,000000,670,670,648,665,51602,0
khmotor-D1,D1,20160409,000000,688,688,626,641,127350,0
khmotor-D1,D1,20160410,000000,641,645,625,633,199254,0
khmotor-D1,D1,20160411,000000,625,665,625,665,386758,0
khmotor-D1,D1,20160412,000000,650,650,620,622,167098,0
khmotor-D1,D1,20160413,000000,625,625,625,625,7000,0
khmotor-D1,D1,20160416,000000,613,614,599,599,60982,0
khmotor-D1,D1,20160417,000000,592,620,592,620,436315,0
khmotor-D1,D1,20160418,000000,622,622,595,622,243486,0
khmotor-D1,D1,20160419,000000,620,620,590,590,170760,0
khmotor-D1,D1,20160420,000000,583,588,583,588,5636,0
khmotor-D1,D1,20160423,000000,626,626,625,626,105772,0
khmotor-D1,D1,20160424,000000,627,642,627,642,296326,0
khmotor-D1,D1,20160425,000000,673,673,633,665,199868,0
khmotor-D1,D1,20160426,000000,634,694,634,682,257321,0
khmotor-D1,D1,20160427,000000,683,694,650,650,129109,0
khmotor-D1,D1,20160430,000000,670,670,637,645,39357,0
khmotor-D1,D1,20160501,000000,645,665,631,645,122290,0
khmotor-D1,D1,20160502,000000,620,660,620,625,165978,0
khmotor-D1,D1,20160503,000000,611,643,600,600,433071,0
khmotor-D1,D1,20160504,000000,612,634,611,634,415336,0
khmotor-D1,D1,20160507,000000,654,654,609,633,32859,0
khmotor-D1,D1,20160508,000000,620,658,620,658,296820,0
khmotor-D1,D1,20160509,000000,683,683,683,683,926832,0
khmotor-D1,D1,20160510,000000,717,717,683,705,939875,0
khmotor-D1,D1,20160511,000000,730,730,679,691,249081,0
khmotor-D1,D1,20160514,000000,691,717,653,667,1270180,0
khmotor-D1,D1,20160515,000000,634,699,634,699,2310667,0
khmotor-D1,D1,20160516,000000,686,710,663,663,1642294,0
khmotor-D1,D1,20160517,000000,670,686,651,651,1001177,0
khmotor-D1,D1,20160518,000000,640,670,637,648,110517,0
khmotor-D1,D1,20160521,000000,653,681,650,681,426055,0
khmotor-D1,D1,20160523,000000,686,686,670,674,471297,0
khmotor-D1,D1,20160524,000000,665,665,645,645,166988,0
khmotor-D1,D1,20160525,000000,645,655,627,631,197120,0
khmotor-D1,D1,20160528,000000,628,652,626,652,128579,0
khmotor-D1,D1,20160529,000000,662,665,660,665,263344,0
khmotor-D1,D1,20160530,000000,692,692,630,670,851848,0
khmotor-D1,D1,20160608,000000,652,652,620,623,859203,0
khmotor-D1,D1,20160611,000000,592,622,592,593,76565,0
khmotor-D1,D1,20160612,000000,584,585,582,583,120663,0
khmotor-D1,D1,20160613,000000,610,610,572,604,123710,0
khmotor-D1,D1,20160614,000000,585,585,555,555,216049,0
